,car_id,name,amount,region,condition,mileage
0,pyU1lsSHiGI7uIroUCL9BWmq,Toyota Camry 2010 Gray, 3937500,"Abuja (FCT), Lugbe District",Nigerian Used,146335 
1,BvePFLZUaFkEdfYL7PzPaVoS,Peugeot 307 2004 Silver, 2475000,"Kaduna State, Kaduna / Kaduna State",Nigerian Used,437514 
2,axF2TH1vmfLooOtgVwo0jZFy,Honda Accord 2006 Black, 1575000,"Kaduna State, Kaduna / Kaduna State",Nigerian Used,389165 
3,Bkct9yfKgQEadVTwXZuKKS0w,Hyundai Elantra 2010 Silver, 2205000,"Rivers State, Port-Harcourt",Nigerian Used,119715 
4,a7bZ0ZLY8RtsoTroijAcFtKd,Mazda 3 2008 Blue, 2250000,"Lagos State, Yaba",Nigerian Used,463776 
5,BLiYKUX09Ks9rZ4YYBVotMcs,Acura MDX 2004 White, 1507500,"Lagos State, Ikorodu",Nigerian Used,221452 
6,CbZTUdKdTy6qZ2A8bdBgCPl0,Toyota Highlander 2005 Silver, 2756250,"Lagos State, Alimosho",Nigerian Used,206947 
7,mFlZsBGBFRpO6OKCugbu2DRZ,Mini Cooper 2014 Black, 9562500,"Lagos State, Ogba",Foreign Used,134338 
8,5qiJhuSuBcUJoNCxuaWjL2Lq,Toyota Corolla 2006 Black, 2421000,"Lagos State, Ilupeju",Nigerian Used,222824 
9,wSOFR194B3m6wChafgbkGLCY,Lexus ES 2007 Green, 3150000,"Lagos State, Ikorodu",Nigerian Used,157137 
10,x2rZwlB7j5TM9tU4i10mNebW,Hyundai Azera 2006 White, 3712500,"Abuja (FCT), Garki 2",Nigerian Used,119116 
11,mBSVLFUYNj75b5DoqZtw00R0,Acura MDX 2008 Burgandy, 2933437,"Lagos State, Surulere",Nigerian Used,280208 
12,7Bh6Ao9B0sb14yMWtPSXWQLN,Ford Focus 2006 Red, 2250000,"Abuja (FCT), Kubwa",Nigerian Used,150340 
13,i2MTERyjKDICyDjfknEKu3Uf,Toyota Sienna 2004 Green, 2250000,"Oyo State, Ibadan",Nigerian Used,238162 
14,pTjoCA5CommgBwOrFdzPxw7Y,Honda Accord 2009 White, 4064062,"Lagos State, Amuwo-Odofin",Foreign Used,149053 
15,fcmyXARKu0F6eWiBjImo1pVM,Honda Accord 2009 Gray, 2475000,"Lagos State, Yaba",Nigerian Used,202606 
16,2TZwngp4vO7OOQ0sdHB8uxWv,Mitsubishi ASX 2011 Silver, 4725000,"Abuja (FCT), Wuse",Nigerian Used,133882 
17,BNePFqZA7uUmeU6qaj3Ry9cV,Lexus LS 2007 Blue, 6300000,"Abuja (FCT), Garki 2",Foreign Used,219658 
18,2VBMLw1hjBqjyWE7FiFzPZhY,Toyota Camry 2012 Gray, 5720000,"Oyo State, Ibadan",Nigerian Used,121983 
19,xkQ4fHw7Xobqlz2cPOfuFnv3,Toyota Camry 2011 Silver, 3952000,"Ondo State, Akure",Nigerian Used,196511 
20,38fYTkafh9ium3oOcHt1NVAa,Lexus ES 350 2007 Gold, 3780000,"Lagos State, Magodo",Nigerian Used,295320 
21,kzsxUZaoYLbWvGzBByGRh4mD,Toyota Corolla 2017 Blue, 8925000,"Lagos State, Apapa",Foreign Used,120510 
22,tuVPy36n9A4fIZCGuBbdyhf6,Toyota RAV4 2007 Blue, 3213000,"Abuja (FCT), Kubwa",Nigerian Used,186969 
23,4V7iDqQiX30lFO0kZjx1kzFl,Lexus ES 2009 Black, 5720000,"Rivers State, Port-Harcourt",Nigerian Used,69562 
24,8HQHLbijS8F6Mq4HryGEBHN6,Lexus GX 2020 Black, 43365000,"Abuja (FCT), Jabi",Foreign Used,22435 
25,7uXiIQ8dBcs156arAiTiljg0,Ford F-150 SuperCab 4x4 2009 Black, 7245000,"Imo State, Owerri",Nigerian Used,155932 
26,hYNvMnK3D1WAxcfNGRcolliW,Toyota Matrix 2003 Black, 1995000,"Ondo State, Akure",Nigerian Used,320966 
27,oA7naj4Mz4cZzJuMqCvIJBy,Toyota Highlander 2011 Silver, 6615000,"Abuja (FCT), Jabi",Nigerian Used,48534 
28,BwwDM25qLa6GynNrnLa8nGia,Lexus ES 2003 Black, 4160000,"Oyo State, Ibadan",Foreign Used,169582 
29,2NG6gV8cpGMQbd4NYjGfWKBN,Ford Explorer 2007 Gray, 3570000,"Lagos State, Amuwo-Odofin",Nigerian Used,90041 
30,640H78Ewl0WzASSKfSY5om2q,Mercedes-Benz E350 2010 Silver, 7800000,"Lagos State, Lekki",Nigerian Used,152501 
31,dqS4qGC1mbEe9WIDOJpCVMx0,Jeep Cherokee 2006 Silver, 3255000,"Oyo State, Ibadan",Nigerian Used,148279 
32,ys0bsRr6JiU3Lh8mEGsEHYQK,Mercedes-Benz GL-Class 2011 Gray, 5040000,"Lagos State, Lekki",Nigerian Used,6834 
33,mqShx1OoZ6Rq9BTEDCUUuzvW,Lexus GX 2016 Burgandy, 17640000,"Lagos State, Lekki",Nigerian Used,61045 
34,CbbG1ncMWSkh1ZmxcBWQDN36,Lexus GX 2004 Black, 13520000,"Lagos State, Ojodu",Nigerian Used,148123 
35,ar9TqTfA0dOR9VnIHHLE8lTY,Lexus ES 2009 Red, 3780000,"Edo State, Benin City",Nigerian Used,122927 
36,kWkFxW6qJhQ1HcAgu3FcEMyv,Lexus GX 2011 Black, 20800000,"Lagos State, Lekki",Foreign Used,105484 
37,3PWEjwXlbLlrkm9eEypuYWfu,Toyota Tacoma 2006 Black, 5250000,"Rivers State, Port-Harcourt",Foreign Used,231228 
38,kAVUKK9qSy9tuOuOfPT9Cgeb,Toyota Sienna 2011 Silver, 6760000,"Rivers State, Port-Harcourt",Nigerian Used,186931 
39,38HERHVzM8Ob1T6ELkAOz3qe,BMW 3 Series 2011 Silver, 3675000,"Oyo State, Ibadan",Nigerian Used,205140 
40,4YEHH8J0qs62OpNus9A5V4ko,Ford Explorer 2016 Black, 13520000,"Lagos State, Ilupeju",Nigerian Used,53597 
41,rbXzfzPZII5R90i5AUfwj388,Toyota Tacoma Regular Cab 2006 Blue, 6344000,"Lagos State, Isolo",Nigerian Used,77665 
42,1ekxsyxHv2JLQWyTxbacrcGV,Toyota Camry 2012 Gold, 6708000,"Kaduna State, Kaduna / Kaduna State",Nigerian Used,125147 
43,eQNaQ12Z1o5mUghqQdeznTKA,Toyota Sequoia 2008 White, 9360000,"Lagos State, Magodo",Nigerian Used,164675 
44,2GT2J1UfBO0PRINSRNzWX9vj,Lexus ES 350 2012 Black, 6783000,"Imo State, Owerri",Foreign Used,116449 
45,dTC3hgbuPm4MkN4toyBmSs9w,Toyota Highlander 3.5L 2WD 2013 White, 11760000,"Lagos State, Ifako-Ijaiye",Foreign Used,252809 
46,7UzCKVyYZJCzATjBaJNEe9D,Lexus ES 350 2008 Silver, 6864000,"Abuja (FCT), Garki 2",Foreign Used,145485 
47,7Sv8hGgt6kCMueMzjwB9fhGT,Toyota Highlander Limited 2010 Silver, 8233312,"Lagos State, Ikeja",Foreign Used,149293 
48,mz5PUn5Zu34rDtXIQTNfT5BH,Toyota RAV4 2003 Green, 1995000,"Lagos State, Ikoyi",Nigerian Used,210718 
49,tIiEjbqEvRdsB8GXdwDCObfh,Toyota Venza 2009 Silver, 9880000,"Lagos State, Ifako-Ijaiye",Foreign Used,190721 
50,d4y8L0skJqs1xFol7IWVO2hk,Toyota Venza 2011 Gray, 7592000,"Oyo State, Ibadan",Nigerian Used,77958 
51,mELJoGJAqDfVuwKBt8htgFbJ,Toyota Sequoia 2011 Black, 8400000,"Lagos State, Ajah",Nigerian Used,139867 
52,uoKowctbVJEo5rf2pVACiLqX,Toyota Sienna 2011 Red, 6825000,"Oyo State, Ibadan",Foreign Used,229081 
53,fRNX341u2BiCJGQcGhXNkERc,Toyota Highlander 2009 Black, 7280000,"Oyo State, Ibadan",Nigerian Used,130729 
54,yISbKYne6sCU6zZjbupeRnXp,Volvo S40 2010 Blue, 2730000,"Oyo State, Ibadan",Nigerian Used,180388 
55,kdIknQXA2ldhTx12oIAxYqS5,Land Rover Discovery 2018 Gray, 44100000,"Lagos State, Lekki",Nigerian Used,50237 
56,oXuma6ShHLiQac1rrkOfRtua,Lexus LX 1999 Gray, 4725000,"Abuja (FCT), Katampe",Nigerian Used,192170 
57,gcV8biwjtWRM9fAMJC44QUOA,Acura MDX 2008 Red, 3108000,"Lagos State, Ojodu",Nigerian Used,294203 
58,oV0FnU0BzvGSrp9hyc0Iu0id,Lexus IS 250 AWD Automatic 2012 White, 8216000,"Kaduna State, Kaduna / Kaduna State",Foreign Used,91851 
59,hFwX9zO8RodiEa0WSf2ugmhF,Toyota RAV4 2011 Gray, 5512000,"Abuja (FCT), Wuse",Nigerian Used,106869 
60,lkWs1pGV51QEXQGGO57hLw7B,Toyota Tacoma 2002 Black, 4935000,"Oyo State, Ibadan",Nigerian Used,245424 
61,vc2h2lY16RjCSeGv4ED3a5ht,Mercedes-Benz S-Class S 500 (W222) 2016 White, 34650000,"Lagos State, Amuwo-Odofin",Foreign Used,46155 
62,yDjTaH2LxpWTGSJoZisMWw5v,Mercedes-Benz G-Class 2013 White, 19740000,"Lagos State, Ikeja",Nigerian Used,259362 
63,1gQGiFTXT66eNUBybTeqXtSa,Toyota Highlander 2010 Black, 6090000,"Abuja (FCT), Jabi",Nigerian Used,176366 
64,yutbzWnV89uiG955KuTiiz5P,Foton Tunland 2013 Blue, 3675000,"Lagos State, Lekki",Nigerian Used,53323 
65,sDxtsIKpgx6hQER8DATuhzmK,Toyota Venza 2009 Gray, 10400000,"Lagos State, Magodo",Foreign Used,165846 
66,hdvO95UhC58TCOdQmJJGIHdT,Toyota Tundra 2006 Green, 3675000,"Lagos State, Ikeja",Nigerian Used,286486 
67,QABrZ1Rb4vgTJV058f1Rs1b,Toyota Sienna LE AWD 7-Passenger 2013 Silver, 9048000,"Imo State, Owerri",Foreign Used,220955 
68,u8fGWVgLCVWrKxjJCJMEhmsC,Toyota RAV4 2007 Black, 7280000,"Lagos State, Isolo",Foreign Used,118419 
69,iKwXeHOzyIf70CSSihOlslp7,Kia Rio 2021 Red, 4620000,"Rivers State, Port-Harcourt",Nigerian Used,86641 
70,jFSBcZqpAWmLBObS3TJ5d6kZ,Lexus GX 2011 Black, 18720000,"Lagos State, Lekki",Nigerian Used,119322 
71,1pCwkolfokUlG7oH2sLKTq12,Lexus RX 2004 Black, 4680000,"Oyo State, Ibadan",Nigerian Used,283445 
72,cE8MIKSlfu185YpDnMES8Z7d,Acura MDX 2016 Black, 12180000,"Lagos State, Magodo",Foreign Used,248561 
73,ozDcvAXm3RhjorxaS5biO7Xu,Toyota Venza 2011 Silver, 11960000,"Lagos State, Alimosho",Foreign Used,225677 
74,pPjyPeiA3vwSbRPJgGcLohvU,Ford F-150 Super Cab 4x4 2007 Black, 7770000,"Abuja (FCT), Garki 2",Nigerian Used,304224 
75,zDQh7JPfcUwJ0JlO8VqibRFa,Toyota Sienna 2013 Red, 10400000,"Lagos State, Ajah",Foreign Used,120509 
76,fL0dib1PTdFJ41R20vZYuF04,Lexus RX 330 2004 Silver, 5200000,"Ondo State, Akure",Nigerian Used,175046 
77,zh9cXsdAZOAYt4S4NQ8TXXMo,Toyota RAV4 2010 Red, 3675000,"Abuja (FCT), Mararaba",Nigerian Used,75752 
78,7Ic7zh9GshWL5I4Z2guq0niC,Lexus GX 460 2011 Black, 14700000,"Abuja (FCT), Garki 2",Nigerian Used,266847 
79,pzmnJnPylruTVyxlqzE8DmmG,Toyota Venza 2009 Black, 6300000,"Abuja (FCT), Jabi",Nigerian Used,75127 
80,ayjsd1ToehfQZGB4p0qI3Xfu,Toyota RAV4 2007 Gray, 3255000,"Rivers State, Port-Harcourt",Nigerian Used,120796 
